Cooling_SP,Wall_U,Window_U ,Floor_U,Roof_U,Window_SHGC,Infiltration_rate ,Sensible HR_Eff,EUI-Mid-future,IDD-Mid-future,OCI-Mid-future
24,0.724334613,3.430442756,0.750705558,0.197143123,0.242469011,0.999709938,0.80310288,338.0112754,1.966398762,125.3683821
21,0.222104569,2.232725403,0.336568372,0.233449331,0.10548593,0.999709357,0.504598722,335.2046865,1.015604183,124.3274182
20,0.514866348,2.779677341,0.741806834,0.395258874,0.145294861,0.999570265,0.828998217,316.9131444,1.746307038,117.5430852
22,0.583639168,1.590992873,0.545025607,0.380351851,0.183470013,0.999510952,0.604388734,317.9022092,2.173692155,117.9099294
20,0.274299586,1.837861065,0.523805831,0.264920955,0.151765813,0.999474403,0.567880985,317.4037738,1.43543517,117.7250597
21,0.37582946,3.025301792,0.763028801,0.290629082,0.107066002,0.999431444,0.521046411,317.34051,1.223178029,117.7015952
20,0.458001803,1.270785869,0.621757824,0.224667167,0.159829333,0.999249913,0.656751157,335.9166846,1.437408444,124.5914983
21,0.797038109,3.073829262,0.625604427,0.355127419,0.163890276,0.999055812,0.665260498,336.4594842,1.934731619,124.7928227
20,0.696310377,3.214699205,0.231728614,0.190861223,0.180728639,0.998768568,0.669585,317.0871677,1.542204983,117.6076305
22,0.799347735,1.273155157,0.250481173,0.324109814,0.107578514,0.998759217,0.586433335,317.1767075,1.420158734,117.6408408
21,0.375671522,2.303457539,0.432546839,0.394091494,0.249152616,0.998684016,0.678466238,320.0651015,2.458450566,118.7121461
23,0.58125909,2.576035526,0.27866564,0.361208846,0.133907203,0.99825024,0.871684698,334.9218415,1.605944682,124.222511
21,0.302488769,2.691770525,0.443220239,0.343484004,0.178017758,0.99821876,0.692972527,336.8909948,1.890209258,124.95287
21,0.472835339,3.223908882,0.724147739,0.269248499,0.136234476,0.99821063,0.775768022,316.4153702,1.297425699,117.3584608
23,0.761495921,2.064380136,0.240150652,0.288098407,0.132712329,0.99771415,0.643602856,316.7991792,1.454939462,117.5008156
23,0.517047123,2.608388919,0.407082001,0.326616689,0.271685123,0.997709162,0.762997965,338.9287433,2.51833944,125.7086709
21,0.328204209,1.542521326,0.533956846,0.157099787,0.185211681,0.997699173,0.769863975,316.923251,1.38616719,117.5468338
24,0.661096191,1.511999588,0.555807789,0.399043899,0.276260583,0.997515188,0.730833311,319.7696658,2.853896568,118.6025691
23,0.459686081,2.633498265,0.480520052,0.2345862,0.245984315,0.997282404,0.592108183,338.0975742,2.07890709,125.4003903
24,0.378537849,2.218468124,0.430020638,0.363023601,0.181968708,0.997243416,0.838111118,316.38335,1.979243261,117.3465845
24,0.742584582,2.12836218,0.365264293,0.204563838,0.221092796,0.997052843,0.764234271,318.561815,1.83899018,118.1545772
24,0.586288516,2.331056901,0.622730731,0.39703682,0.252503452,0.996936754,0.898306574,318.7984127,2.577534014,118.2423313
22,0.712715418,2.264102177,0.479364108,0.280492304,0.149713346,0.996699895,0.699033871,334.7570229,1.576941092,124.1613798
24,0.443734103,1.188462862,0.316298298,0.306129839,0.131615033,0.996315018,0.534148792,334.9919546,1.451216087,124.248516
23,0.571616661,3.06925313,0.767852804,0.309680295,0.182725502,0.995994934,0.731921682,336.624226,1.867728152,124.8539254
20,0.271764938,1.502390636,0.492233188,0.385220563,0.233388454,0.9957999,0.8590787,336.9485994,2.31301631,124.9742355
21,0.208343551,2.575333092,0.342090302,0.286777225,0.151748127,0.995723867,0.870135136,334.6039094,1.380226389,124.10459
22,0.516158381,1.782341913,0.515175474,0.281644772,0.102785744,0.995529189,0.772393941,316.1370396,1.16343071,117.255228
23,0.263729495,3.271325385,0.624393573,0.178858025,0.116392378,0.995373496,0.661873967,316.6039504,0.940651856,117.4284052
21,0.266803353,3.415616252,0.299390443,0.165649819,0.18933552,0.995279569,0.76376994,316.5998217,1.379502449,117.4268739
23,0.219269947,2.979726149,0.711554235,0.245024668,0.165377131,0.9952048,0.571843,335.6514381,1.480099784,124.4931184
23,0.539787451,2.337151204,0.386291981,0.18460071,0.120369255,0.995035802,0.706952086,334.3150398,0.990840182,123.9974483
20,0.730849429,2.708704535,0.447200458,0.175306914,0.223625497,0.994897881,0.890298665,317.9409494,1.697515976,117.9242981
21,0.576593867,3.221694927,0.516130572,0.33095789,0.123316564,0.994757233,0.668149041,316.8336288,1.489510944,117.5135929
20,0.799374559,3.108574418,0.670840248,0.349631019,0.221018179,0.994667094,0.631539281,337.1373138,2.242131222,125.0442297
21,0.235506058,2.555324105,0.330558508,0.204126961,0.141515217,0.994629649,0.830038545,315.3960623,1.082776371,116.9803995
22,0.66014231,2.525323387,0.641904137,0.386936131,0.188029465,0.99448928,0.558162604,336.761835,2.248019169,124.9049646
23,0.530501063,2.834890424,0.306249247,0.294076557,0.22281298,0.994329256,0.602510648,336.9269717,2.136114935,124.9662138
24,0.434724862,2.438330622,0.612938967,0.212497671,0.124857441,0.994244737,0.790212853,315.9071144,1.091956238,117.1699487
20,0.424713372,3.25719879,0.630615553,0.189056925,0.215758156,0.99380701,0.851427657,336.0215119,1.630763762,124.6303788
21,0.776720191,2.947644988,0.419756345,0.162029153,0.267361997,0.993579371,0.896885411,338.0849071,2.063204651,125.395692
23,0.653668862,2.090092304,0.407595253,0.209111737,0.239470941,0.993549776,0.82620458,318.0138752,1.957263338,117.9513463
22,0.261435895,3.229238736,0.203872939,0.285486687,0.188393192,0.993527448,0.844940506,316.0573623,1.691900811,117.2256757
22,0.551519463,1.190145678,0.434833258,0.165351676,0.187943583,0.993485041,0.890794348,335.9098956,1.4531657,124.5889803
23,0.731377545,1.540001602,0.219787516,0.395479566,0.140466887,0.993429016,0.543151329,316.8440825,1.851877415,117.5174702
21,0.470352876,2.738123325,0.208065177,0.371073497,0.288411369,0.993233466,0.75280167,319.5179158,2.707612016,118.509195
20,0.256433579,2.528798254,0.239051149,0.295314892,0.187472078,0.993076403,0.514899793,336.1834821,1.766921606,124.6904535
22,0.633189257,3.137426274,0.56790514,0.386685945,0.170305266,0.992935266,0.624848781,335.7386902,2.021988062,124.5254802
20,0.694579813,1.688868151,0.724007112,0.21832407,0.128932047,0.992842479,0.805768423,333.8900823,1.212151368,123.8398315
23,0.544929965,1.746485885,0.741152681,0.315214887,0.196925097,0.992695125,0.615673249,336.5066685,1.974628514,124.8103234
23,0.665946237,1.720906393,0.528192968,0.163538774,0.274768482,0.992686929,0.689667987,337.9649698,2.142973448,125.3512073
24,0.246187672,3.231645603,0.784766662,0.23583421,0.199245632,0.99248781,0.587376984,335.9976017,1.684239152,124.6215105
24,0.326509623,2.0135633,0.395993344,0.183232083,0.264193665,0.992471101,0.759203884,318.4152871,2.013189257,118.10023
24,0.428816345,2.735563445,0.254028793,0.278910053,0.125599733,0.992330676,0.75362799,333.9830906,1.297519166,123.8743283
23,0.725399344,3.049814321,0.79518919,0.176345653,0.272017376,0.992183032,0.734605758,337.96706,2.134953249,125.3519826
21,0.463592391,3.070727526,0.669817277,0.379240358,0.250134457,0.991967096,0.536459299,319.3393721,2.525564379,118.4429731
20,0.70069577,3.290042999,0.631408145,0.289823487,0.289214516,0.991930256,0.699391916,338.2803192,2.595634929,125.4681704
24,0.245049462,3.379123154,0.672030103,0.268236598,0.158759914,0.991909008,0.781602605,316.2111935,1.461173859,117.2827317
20,0.562892244,2.903333613,0.316967652,0.351186414,0.19639529,0.991718616,0.713530938,317.5640733,2.028137292,117.7845148
23,0.769773305,2.032756206,0.799558603,0.26411803,0.199039096,0.991688793,0.681151501,317.3837396,1.818355946,117.717629
24,0.351970153,2.380177471,0.362786706,0.245989065,0.184760594,0.991619626,0.627570374,335.6633277,1.688425184,124.4975282
22,0.370825307,3.380955282,0.726545962,0.392168112,0.182719207,0.99136589,0.70645851,335.7563879,2.079538661,124.5320443
21,0.601543091,2.981022909,0.773461156,0.230807543,0.265228951,0.991168263,0.829548931,318.5746852,2.186904858,118.1593507
23,0.292976197,1.715914222,0.344370769,0.181789128,0.240624619,0.990643956,0.628686344,318.2703119,1.868717172,118.0464587
24,0.429967618,1.618409079,0.201404083,0.190816261,0.13833981,0.990601887,0.661408038,316.0441042,1.131122178,117.2207582
21,0.575837515,1.161823675,0.573407809,0.201471229,0.255052832,0.990478377,0.822580186,318.3403458,2.06475198,118.0724343
20,0.576195336,3.090065626,0.400064688,0.305142983,0.1923447,0.990334858,0.741266704,335.9285794,1.881850079,124.5959101
20,0.458507132,2.544875839,0.410433772,0.325250011,0.24869292,0.990287545,0.842903805,318.4868052,2.26968665,118.1267561
24,0.77968303,3.450005177,0.397116533,0.366995517,0.16731034,0.990193587,0.790751486,316.1206223,1.970539518,117.2491388
23,0.618135846,2.472379037,0.785260581,0.362630372,0.266407769,0.990007362,0.577153813,318.8559425,2.712874544,118.2636691
20,0.297851454,1.417313889,0.523099595,0.36711446,0.118453454,0.989878154,0.65817993,316.7220206,1.475983182,117.4721974
24,0.315689399,3.185999446,0.767942516,0.251674849,0.251875408,0.989831236,0.845879939,336.2092994,2.144851163,124.7000291
23,0.575150337,2.39630552,0.383941644,0.312274448,0.110039169,0.989807499,0.529942117,316.4035742,1.349573042,117.3540857
22,0.611612738,1.589191745,0.245604576,0.298459441,0.259642412,0.989781499,0.562998162,337.4768188,2.46245037,125.1701521
21,0.40137024,3.434811025,0.795395723,0.264420521,0.124416168,0.989698506,0.768076131,315.6360919,1.197941819,117.0694265
22,0.604994596,1.334598057,0.539265341,0.263008189,0.146761856,0.989552608,0.579870951,316.5974373,1.496915418,117.4259895
21,0.351910782,3.033522726,0.700327904,0.211242831,0.17450057,0.989423761,0.606442763,335.2336098,1.437787559,124.3381459
24,0.382950114,2.795751104,0.523600031,0.193602334,0.129135996,0.989411853,0.888736178,333.8247613,0.989698047,123.8156039
23,0.276249227,1.518213334,0.712494792,0.154642268,0.254514517,0.989380947,0.592588369,318.4210933,1.936723715,118.1023835
21,0.5027551,1.459007539,0.391296172,0.399073553,0.159757995,0.989337142,0.665815078,316.7052294,1.907908913,117.4659696
20,0.557006986,1.336184686,0.757982392,0.271056533,0.104258212,0.989034744,0.88017076,333.1107094,1.142762351,123.5507621
22,0.256647952,1.4253309,0.635396946,0.327747805,0.120102679,0.988829669,0.513235335,334.2551273,1.463900744,123.9752267
24,0.47513915,3.3411766,0.634781436,0.343146606,0.253004187,0.98834948,0.738287615,318.4450856,2.478467835,118.1112823
23,0.306219411,3.282712616,0.752940861,0.231113663,0.134691564,0.988348753,0.522942663,315.8263179,1.232613255,117.1399813
21,0.713460091,3.408721894,0.716553547,0.357057134,0.165414924,0.987925823,0.678768097,334.8913731,1.941586163,124.2112103
23,0.442017384,1.260575545,0.228380192,0.319607758,0.171425631,0.987879665,0.686320375,335.0123927,1.714876088,124.2560965
22,0.360852995,3.092417521,0.467820275,0.299314146,0.133579337,0.987417681,0.656284722,315.5883481,1.448722664,117.0517183
20,0.615764396,2.817697001,0.720040856,0.397337468,0.187263079,0.987361984,0.726822854,315.9442152,2.094256845,117.1837094
20,0.201957973,2.423616626,0.54841157,0.224266193,0.154207863,0.987334749,0.545474675,334.9048671,1.369311948,124.2162152
23,0.559737397,2.444324688,0.569555099,0.337187339,0.103326547,0.98729119,0.845559193,314.7688883,1.310123535,116.7477807
24,0.224895409,2.39949924,0.706651911,0.164471999,0.172521569,0.987248992,0.889026663,314.9212427,1.217315063,116.8042889
23,0.719709672,2.729877588,0.69743349,0.213408436,0.221132851,0.987218673,0.564570486,336.1755838,1.91936856,124.687524
22,0.619297102,1.983152346,0.501412855,0.298045651,0.129913934,0.987138568,0.579138857,315.5892554,1.465078682,117.0520548
20,0.72199019,2.367369827,0.716959708,0.228137005,0.260301036,0.986781848,0.566271959,318.3278758,2.282173053,118.0678091
22,0.721240824,2.043791574,0.702514399,0.159387608,0.208167512,0.986763798,0.743940078,316.8299285,1.669857563,117.5122205
22,0.362570801,2.887265758,0.216747841,0.167577518,0.145558001,0.986618117,0.501189864,315.5028075,1.122836715,117.0199913
23,0.520823473,1.909085884,0.517373359,0.388560548,0.256603521,0.986238649,0.532161239,336.917775,2.657274321,124.9628027
21,0.248322411,1.708624919,0.249828269,0.227546335,0.140251624,0.986163897,0.508649318,334.2406856,1.245435366,123.9698703
20,0.701244104,1.912940941,0.506095804,0.267761847,0.289552762,0.985675404,0.727796815,337.2136673,2.527687277,125.0725492
21,0.73792143,2.594641503,0.788671468,0.236269765,0.257873783,0.985545202,0.813034999,336.3726998,2.231755427,124.7606344
21,0.280112915,2.192106677,0.527943332,0.310545374,0.275129195,0.985507042,0.60906979,318.1777454,2.48748099,118.0121258
21,0.586631061,1.501466083,0.393114061,0.150510015,0.119005738,0.985470089,0.559752488,333.4904835,0.988280229,123.6916203
21,0.482709329,1.684917374,0.698339507,0.290597714,0.125360002,0.985021097,0.635247785,333.0262006,1.369172394,123.5194178
22,0.624678125,2.905520485,0.692423153,0.311273501,0.141110713,0.984989481,0.810455399,314.1583271,1.519979121,116.5213235
23,0.338771932,2.021684561,0.38588732,0.185981644,0.121301147,0.984921957,0.576451764,314.9869321,0.987432974,116.8286531
21,0.685810895,1.847636361,0.658215944,0.210532284,0.110054619,0.984825987,0.800111268,314.3703569,1.021009781,116.5999654
24,0.382115235,2.810590343,0.397813342,0.384663677,0.281103972,0.984808838,0.689962534,336.6163504,2.711695931,124.8510044
21,0.552196658,3.089724438,0.383667978,0.179090541,0.148949835,0.984772661,0.767397751,333.0479719,1.206369296,123.5274928
22,0.210461968,2.623327232,0.799663202,0.39029318,0.122964102,0.984712432,0.855295753,332.9315121,1.495513715,123.4842978
23,0.622833174,3.104341845,0.534368655,0.187061496,0.273904082,0.984627037,0.679705569,336.2163033,2.186736447,124.7026269
23,0.669897386,1.478061401,0.28506097,0.270680287,0.143088717,0.984577152,0.79707702,332.9019254,1.433892458,123.4733241
23,0.269140558,1.499405205,0.384404929,0.322841907,0.133692075,0.984525831,0.752968631,314.8442569,1.455571313,116.7757349
24,0.33838521,1.932178943,0.315306802,0.35325282,0.262679908,0.984383116,0.680970253,317.3575994,2.506797989,117.7079336
23,0.304613709,1.801338374,0.502997519,0.337129502,0.131408643,0.98424656,0.706579983,332.6234494,1.446542391,123.3700374
21,0.205683952,1.627398049,0.78062492,0.271912495,0.136377129,0.984177247,0.835740706,332.5774794,1.238555505,123.3529871
20,0.473126421,2.072528638,0.283265312,0.185265382,0.149983791,0.983862759,0.609065903,314.970335,1.254546117,116.8224973
22,0.270275964,1.815322386,0.593260779,0.278286428,0.280032095,0.983711472,0.73202519,335.9099785,2.361724253,124.589011
22,0.439232678,2.225929403,0.236175399,0.242065182,0.251422522,0.983274897,0.647027459,334.9847219,2.187282669,124.2458333
24,0.580466045,1.97420268,0.449274327,0.346054946,0.276365983,0.983078839,0.862172902,335.0950252,2.64414528,124.2867448
23,0.278515103,1.135183048,0.754466231,0.216360462,0.250418781,0.982947976,0.652217336,334.9051238,2.045116311,124.2163104
23,0.71756997,2.691926835,0.395205455,0.312882002,0.21731552,0.982422674,0.58657789,316.7991625,2.172013868,117.5008094
23,0.359585504,3.381331921,0.606139978,0.3702639,0.209715693,0.982193406,0.582207524,334.1517506,2.252250911,123.9368843
22,0.329263279,2.981761766,0.511524994,0.152243458,0.144225667,0.982097132,0.725550173,314.3017644,1.058852102,116.5745244
21,0.681760744,1.861291922,0.66148517,0.330324779,0.119185575,0.982026669,0.762047921,314.005436,1.484777028,116.4646162
20,0.393515856,1.51387863,0.597504387,0.282827383,0.214943471,0.981966093,0.55175698,334.4313635,1.984924695,124.0405927
23,0.41753047,3.051824238,0.726988125,0.271626215,0.207679357,0.981936467,0.633939559,316.3082977,1.906957752,117.3187476
23,0.393100289,2.524044412,0.582745268,0.191065961,0.184005358,0.98170868,0.645485467,315.36639,1.46022683,116.9693941
20,0.225387748,2.1947017,0.231869456,0.157334732,0.175033837,0.981456317,0.619957668,333.1838767,1.268962248,123.5778999
20,0.241468476,3.335472133,0.686305524,0.29163922,0.21282992,0.981363443,0.596497666,333.8659313,1.967995028,123.8308739
24,0.76639577,2.503224456,0.663297354,0.342914821,0.298915804,0.981325344,0.675939152,317.163866,2.810873579,117.6360779
21,0.393096239,1.891458137,0.37055119,0.196722188,0.12659141,0.981123165,0.517602504,314.3631023,1.077180204,116.5972746
20,0.306076974,1.775934835,0.339572071,0.263929369,0.185820225,0.981108757,0.582351187,333.1575046,1.705374371,123.5681184
22,0.293770288,1.324892461,0.731483459,0.293040406,0.275524575,0.980933542,0.76616637,316.9629519,2.442386754,117.5615589
24,0.498028123,2.061039707,0.518981763,0.231587874,0.126416537,0.980922683,0.581814516,314.1126285,1.237637297,116.5043739
20,0.210434261,1.359010867,0.623260192,0.153974232,0.265802811,0.980885449,0.815115407,316.3998846,1.9508012,117.3527172
24,0.515967869,3.31117866,0.765781925,0.258350433,0.271808925,0.980475087,0.73116016,316.9905085,2.332725183,117.5717796
21,0.495604221,3.099827267,0.246133194,0.38849267,0.151247128,0.980392509,0.719541007,314.5128577,1.772120468,116.6528189
24,0.413339636,1.417101848,0.544538627,0.316636916,0.246486706,0.980360428,0.50841509,316.9684588,2.35067355,117.5636014
