Cooling_SP,Wall_U,Window_U ,Floor_U,Roof_U,Window_SHGC,Infiltration_rate ,Sensible HR_Eff,EUI-Baseline,IDD-Baseline,OCI-Baseline
24,0.4,3.4,0.4,0.4,0.3,0.36,0.84,166.375,1.453509,94.16825
25,0.7,1.7,0.8,0.3,0.1,0.77,0.73,214.6041667,0.984532,121.4659583
24,0.3,3,0.5,0.4,0.3,0.73,0.9,215.8125,1.431549,122.149875
22,0.7,2.2,0.4,0.3,0.3,0.77,0.65,236.3125,1.432562,133.752875
21,0.8,3.4,0.4,0.2,0.2,0.35,0.81,149.5,0.886206,84.617
20,0.5,3.1,0.7,0.2,0.2,0.67,0.69,215.8125,0.784199,122.149875
20,0.8,3,0.3,0.3,0.3,0.78,0.71,236.3125,1.382089,133.752875
22,0.5,1.1,0.5,0.4,0.3,0.77,0.88,236.3125,1.782407,133.752875
24,0.3,2.5,0.6,0.3,0.2,0.35,0.87,149.5,0.860715,84.617
25,0.3,2.9,0.3,0.4,0.2,0.4,0.57,160.3541667,1.127065,90.76045833
20,0.6,1.8,0.2,0.2,0.3,0.7,0.85,210.9791667,1.338851,119.4142083
24,0.3,3.4,0.6,0.2,0.1,0.42,0.65,172.3958333,1.270169,97.57604167
20,0.2,1.2,0.6,0.2,0.2,0.57,0.74,198.9375,0.443389,112.598625
24,0.4,2.3,0.3,0.2,0.2,0.69,0.77,218.2291667,0.641248,123.5177083
25,0.3,2.2,0.3,0.3,0.2,0.52,0.68,178.4375,0.818136,100.995625
25,0.5,3.1,0.7,0.3,0.2,0.36,0.7,165.1666667,0.989276,93.48433333
21,0.6,2.4,0.2,0.2,0.3,0.55,0.66,186.875,1.207212,105.77125
23,0.4,2.4,0.8,0.4,0.3,0.51,0.59,179.6458333,1.496529,101.6795417
21,0.8,3.4,0.4,0.2,0.2,0.42,0.88,161.5625,0.886166,91.444375
24,0.6,2.7,0.4,0.3,0.3,0.71,0.77,225.4583333,1.347641,127.6094167
22,0.7,2,0.7,0.3,0.1,0.57,0.87,195.3125,1.066541,110.546875
22,0.5,3.4,0.4,0.3,0.2,0.62,0.72,208.5833333,1.028158,118.0581667
21,0.3,2,0.2,0.4,0.3,0.58,0.68,204.9583333,1.523628,116.0064167
21,0.8,3.1,0.6,0.4,0.2,0.71,0.89,210.9791667,1.250027,119.4142083
25,0.6,1.9,0.8,0.3,0.2,0.68,0.89,206.1666667,0.860533,116.6903333
21,0.8,2,0.2,0.3,0.3,0.78,0.62,225.4583333,1.495089,127.6094167
25,0.5,2.2,0.7,0.3,0.3,0.76,0.87,232.6875,1.376848,131.701125
24,0.5,2.4,0.8,0.2,0.2,0.7,0.86,207.375,0.680789,117.37425
22,0.5,2.7,0.3,0.4,0.2,0.33,0.86,161.5625,1.147088,91.444375
21,0.7,1.3,0.2,0.2,0.1,0.44,0.54,178.4375,0.690115,100.995625
22,0.8,1.6,0.5,0.2,0.1,0.69,0.56,218.2291667,0.791369,123.5177083
23,0.4,2.6,0.2,0.4,0.2,0.51,0.62,179.6458333,1.113018,101.6795417
22,0.4,2.5,0.7,0.2,0.3,0.38,0.62,156.7291667,1.134657,88.70870833
23,0.5,2.7,0.5,0.3,0.2,0.79,0.8,221.8333333,0.936099,125.5576667
23,0.8,1.8,0.7,0.4,0.2,0.43,0.85,176.0208333,1.123773,99.62779167
25,0.3,1.1,0.3,0.2,0.3,0.53,0.5,194.1041667,1.487156,109.8629583
25,0.4,3.2,0.7,0.2,0.2,0.59,0.59,204.9583333,0.77755,116.0064167
25,0.5,3.1,0.5,0.3,0.1,0.47,0.61,171.2083333,1.309513,96.90391667
21,0.2,3.1,0.6,0.3,0.3,0.36,0.51,154.3125,1.213606,87.340875
22,0.8,2.5,0.5,0.2,0.1,0.66,0.56,203.75,1.042874,115.3225
24,0.8,1.2,0.6,0.3,0.2,0.46,0.63,170,0.847172,96.22
21,0.3,1.3,0.4,0.3,0.3,0.59,0.74,194.1041667,1.4963,109.8629583
23,0.7,1.3,0.6,0.2,0.1,0.55,0.55,184.4583333,0.690088,104.4034167
24,0.8,1.2,0.8,0.4,0.2,0.31,0.82,160.3541667,1.07352,90.76045833
25,0.6,1.4,0.6,0.2,0.1,0.51,0.56,178.4375,0.725736,100.995625
24,0.5,1.9,0.3,0.4,0.2,0.36,0.67,153.125,1.059124,86.66875
22,0.6,2.4,0.6,0.3,0.3,0.78,0.75,236.3125,1.37715,133.752875
22,0.2,1.1,0.5,0.2,0.3,0.6,0.51,196.5208333,1.457631,111.2307917
25,0.4,2.4,0.7,0.3,0.2,0.45,0.7,179.6458333,0.871874,101.6795417
22,0.8,2.6,0.5,0.2,0.3,0.34,0.53,166.375,1.238105,94.16825
